task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	1f/4b432a	2553	DROP_DROP:DROP:ABERRANT_SPLICING:DEFINE_DATASET_FROM_ANNO (1)	CACHED	0	2023-02-14 21:37:10.769	18.2s	18.1s	94.5%	893.8 MB	1.5 GB	75.7 MB	884.4 KB
3	9f/3a00b8	3312	DROP_DROP:DROP:ABERRANT_SPLICING:DEFINE_DATASET_FROM_ANNO (2)	CACHED	0	2023-02-14 21:37:25.172	14.3s	14s	99.4%	715.8 MB	1.3 GB	75.7 MB	884.4 KB
1	01/12908d	2542	DROP_DROP:DROP:ABERRANT_SPLICING:PREPROCESSGENEANNOTATION (1)	CACHED	0	2023-02-14 21:37:10.735	14.4s	14.3s	97.7%	714.9 MB	1.3 GB	101.4 MB	1.3 MB
4	3a/d87497	3803	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_INIT (1)	CACHED	0	2023-02-14 21:37:39.559	18.9s	18.8s	100.7%	894.1 MB	1.5 GB	74.5 MB	4.8 KB
5	dc/22d523	3802	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_INIT (2)	CACHED	0	2023-02-14 21:37:39.564	19.1s	19s	100.4%	893.7 MB	1.5 GB	74.5 MB	4.8 KB
6	a2/aef844	4758	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (1)	CACHED	0	2023-02-14 21:37:58.817	29.9s	29.6s	77.0%	1.1 GB	1.8 GB	93.1 MB	55 KB
8	ab/0e47fe	5710	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (3)	CACHED	0	2023-02-14 21:38:21.346	19.8s	19.7s	101.1%	908.2 MB	1.5 GB	92.8 MB	23.8 KB
9	d0/d6111e	6110	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (4)	CACHED	0	2023-02-14 21:38:28.683	20.1s	20s	101.3%	893.3 MB	1.5 GB	93 MB	23.6 KB
7	58/09b156	4759	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (2)	CACHED	0	2023-02-14 21:37:58.834	22.5s	22.3s	98.1%	1.2 GB	1.8 GB	91.9 MB	23.1 KB
11	01/1acb3e	7630	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (6)	CACHED	0	2023-02-14 21:39:01.403	19.9s	19.6s	100.2%	908.3 MB	1.5 GB	93.8 MB	23.6 KB
