task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	af/478965	30104	DROP_DROP:DROP:ABERRANT_SPLICING:PREPROCESSGENEANNOTATION (1)	CACHED	0	2023-02-14 21:52:09.817	15.2s	15s	98.5%	616.6 MB	1.2 GB	101.4 MB	1.3 MB
2	c3/222b10	30874	DROP_DROP:DROP:ABERRANT_SPLICING:DEFINE_DATASET_FROM_ANNO (1)	CACHED	0	2023-02-14 21:52:25.014	15.9s	15.6s	100.3%	789.2 MB	1.4 GB	75.7 MB	884.4 KB
3	ee/cc5b64	30109	DROP_DROP:DROP:ABERRANT_SPLICING:DEFINE_DATASET_FROM_ANNO (2)	CACHED	0	2023-02-14 21:52:09.851	18.3s	18.1s	95.8%	893.6 MB	1.5 GB	75.7 MB	884.4 KB
5	a8/e30bf0	42694	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_INIT (2)	CACHED	0	2023-02-14 21:57:36.061	20.3s	20.1s	96.2%	831 MB	1.4 GB	74.5 MB	4.8 KB
4	5b/c2e89d	42677	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_INIT (1)	CACHED	0	2023-02-14 21:57:35.978	20.3s	20.2s	97.0%	797.9 MB	1.4 GB	74.5 MB	4.8 KB
7	3c/cc6fe3	53770	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (2)	CACHED	0	2023-02-14 22:03:33.167	19.7s	19.6s	94.8%	908.2 MB	1.5 GB	91.9 MB	23.2 KB
8	be/fa909b	54646	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (3)	CACHED	0	2023-02-14 22:03:52.916	16.4s	16.3s	101.6%	1.2 GB	1.8 GB	92.8 MB	23.8 KB
9	f9/e7ee48	55502	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (4)	CACHED	0	2023-02-14 22:04:09.325	16.8s	16.7s	101.1%	1.1 GB	1.8 GB	93 MB	23.6 KB
11	af/f4aaf2	57465	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (6)	CACHED	0	2023-02-14 22:04:44.678	17.8s	17.7s	100.7%	921.3 MB	1.5 GB	93.8 MB	23.6 KB
6	39/ad77ce	53757	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (1)	CACHED	0	2023-02-14 22:03:33.080	28s	27.8s	66.9%	1.1 GB	1.8 GB	93.1 MB	55 KB
10	75/49de02	55049	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (5)	CACHED	0	2023-02-14 22:04:01.065	17.3s	17.3s	101.3%	1008.4 MB	1.6 GB	92.3 MB	23.7 KB
12	1b/ede027	56475	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (7)	CACHED	0	2023-02-14 22:04:26.149	18.5s	18.4s	101.1%	922.5 MB	1.5 GB	93.1 MB	23.6 KB
13	41/17c68b	56033	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (8)	CACHED	0	2023-02-14 22:04:18.420	18.8s	18.7s	101.6%	908.3 MB	1.5 GB	93.7 MB	23.6 KB
15	94/ef499c	57976	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (10)	CACHED	0	2023-02-14 22:04:54.038	16.9s	16.8s	100.3%	1.2 GB	1.8 GB	92.1 MB	23.7 KB
14	99/57f35d	57074	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (9)	CACHED	0	2023-02-14 22:04:37.200	16.8s	16.7s	101.3%	1.2 GB	1.8 GB	92.7 MB	23.2 KB
17	06/46ca50	58465	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (12)	CACHED	0	2023-02-14 22:05:02.502	18.1s	17.9s	100.6%	908.4 MB	1.5 GB	93 MB	23.6 KB
18	3f/f1622a	59474	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (13)	CACHED	0	2023-02-14 22:05:20.590	18.2s	18.1s	101.1%	933.6 MB	1.5 GB	92.3 MB	23.7 KB
19	a8/a0565f	58936	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (14)	CACHED	0	2023-02-14 22:05:10.982	18s	17.9s	100.9%	910.2 MB	1.5 GB	93.8 MB	23.6 KB
16	1f/c4b177	59901	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (11)	CACHED	0	2023-02-14 22:05:28.976	19s	18.9s	101.6%	908.3 MB	1.5 GB	92.8 MB	23.8 KB
21	9c/7489e2	60445	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (16)	CACHED	0	2023-02-14 22:05:38.821	17s	16.9s	100.8%	1.1 GB	1.8 GB	93.7 MB	23.6 KB
20	36/9c35df	61381	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (15)	CACHED	0	2023-02-14 22:05:55.804	16.4s	16.3s	101.6%	1.2 GB	1.8 GB	93.1 MB	23.6 KB
22	fd/8d3fdc	60957	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (17)	CACHED	0	2023-02-14 22:05:47.992	17.3s	17.2s	101.3%	1020.1 MB	1.6 GB	92.7 MB	23.2 KB
23	93/0cbee8	61912	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (18)	CACHED	0	2023-02-14 22:06:05.258	16.6s	16.6s	101.6%	1.1 GB	1.8 GB	92.1 MB	23.7 KB
24	67/edf984	7246	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_MERGE (1)	CACHED	0	2023-02-14 23:47:08.826	42.6s	42.5s	143.4%	2.6 GB	4.5 GB	124.9 MB	304.6 KB
25	ec/9cbee9	7259	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_MERGE (2)	CACHED	0	2023-02-14 23:47:08.848	42.6s	42.5s	141.6%	3.5 GB	6.1 GB	120.7 MB	296.2 KB
26	71/b31237	63478	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_NONSPLITREADS_SAMPLEWISE (1)	COMPLETED	0	2023-02-15 00:56:23.672	18.7s	18.6s	96.3%	898.1 MB	1.5 GB	81.7 MB	1.3 MB
28	ee/e480e6	63469	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_NONSPLITREADS_SAMPLEWISE (3)	COMPLETED	0	2023-02-15 00:56:23.633	18.8s	18.7s	96.1%	901.5 MB	1.5 GB	81.1 MB	1.1 MB
27	dd/4a58bb	64310	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_NONSPLITREADS_SAMPLEWISE (2)	COMPLETED	0	2023-02-15 00:56:42.405	16.2s	16.1s	100.0%	1023.4 MB	1.9 GB	81 MB	1.1 MB
29	8d/0984cd	64341	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_NONSPLITREADS_SAMPLEWISE (4)	COMPLETED	0	2023-02-15 00:56:42.442	16.2s	16s	99.6%	1022.6 MB	1.9 GB	82.8 MB	1.7 MB
30	c1/5c0b1f	65187	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_NONSPLITREADS_SAMPLEWISE (5)	COMPLETED	0	2023-02-15 00:56:58.586	16.6s	16.6s	99.9%	929.6 MB	1.5 GB	81.2 MB	1.3 MB
31	f8/a46fb6	65231	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_NONSPLITREADS_SAMPLEWISE (6)	COMPLETED	0	2023-02-15 00:56:58.650	16.8s	16.6s	99.4%	919.1 MB	1.5 GB	82.4 MB	1.3 MB
34	36/a0e6ba	66101	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_NONSPLITREADS_SAMPLEWISE (9)	COMPLETED	0	2023-02-15 00:57:15.235	18.6s	18.5s	99.2%	883.2 MB	1.5 GB	81.8 MB	1.3 MB
35	d4/57211f	66182	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_NONSPLITREADS_SAMPLEWISE (10)	COMPLETED	0	2023-02-15 00:57:15.427	18.4s	18.3s	99.2%	893.4 MB	1.5 GB	80.8 MB	1022.1 KB
36	34/d3a5c9	67021	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_NONSPLITREADS_SAMPLEWISE (11)	COMPLETED	0	2023-02-15 00:57:33.798	16.4s	16.4s	99.9%	953.7 MB	1.5 GB	81.1 MB	1.1 MB
32	99/858805	67062	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_NONSPLITREADS_SAMPLEWISE (7)	COMPLETED	0	2023-02-15 00:57:33.854	16.5s	16.4s	99.6%	965.1 MB	1.5 GB	82.7 MB	1.7 MB
33	94/692743	67948	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_NONSPLITREADS_SAMPLEWISE (8)	COMPLETED	0	2023-02-15 00:57:50.242	17.1s	17.1s	99.0%	908.4 MB	1.5 GB	82.1 MB	1.3 MB
39	c2/4a0d2d	68019	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_NONSPLITREADS_SAMPLEWISE (14)	COMPLETED	0	2023-02-15 00:57:50.337	17.3s	17.2s	99.2%	908.1 MB	1.5 GB	82.4 MB	1.3 MB
37	dc/93b8e6	68901	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_NONSPLITREADS_SAMPLEWISE (12)	COMPLETED	0	2023-02-15 00:58:07.368	15.9s	15.9s	99.3%	1 GB	1.9 GB	82.8 MB	1.7 MB
41	62/f3e0f5	68993	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_NONSPLITREADS_SAMPLEWISE (16)	COMPLETED	0	2023-02-15 00:58:07.666	15.9s	15.8s	99.1%	711 MB	1.3 GB	82.1 MB	1.3 MB
40	43/c6a48b	69956	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_NONSPLITREADS_SAMPLEWISE (15)	COMPLETED	0	2023-02-15 00:58:23.599	17.1s	17s	99.3%	908.2 MB	1.5 GB	82.7 MB	1.7 MB
