task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	af/478965	30104	DROP_DROP:DROP:ABERRANT_SPLICING:PREPROCESSGENEANNOTATION (1)	CACHED	0	2023-02-14 21:52:09.817	15.2s	15s	98.5%	616.6 MB	1.2 GB	101.4 MB	1.3 MB
3	ee/cc5b64	30109	DROP_DROP:DROP:ABERRANT_SPLICING:DEFINE_DATASET_FROM_ANNO (2)	CACHED	0	2023-02-14 21:52:09.851	18.3s	18.1s	95.8%	893.6 MB	1.5 GB	75.7 MB	884.4 KB
2	c3/222b10	30874	DROP_DROP:DROP:ABERRANT_SPLICING:DEFINE_DATASET_FROM_ANNO (1)	CACHED	0	2023-02-14 21:52:25.014	15.9s	15.6s	100.3%	789.2 MB	1.4 GB	75.7 MB	884.4 KB
5	f4/8863cb	31391	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_INIT (2)	CACHED	0	2023-02-14 21:52:41.033	15.7s	15.5s	100.9%	706.4 MB	1.3 GB	74.5 MB	4.8 KB
4	b2/17f696	31390	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_INIT (1)	CACHED	0	2023-02-14 21:52:41.021	15.7s	15.5s	101.0%	706.4 MB	1.3 GB	74.5 MB	4.8 KB
8	a3/667437	69358	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (3)	CACHED	0	2023-02-14 22:14:10.136	20.6s	20.5s	101.1%	787.4 MB	1.4 GB	92.8 MB	23.8 KB
7	05/d6a0e9	69081	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (2)	CACHED	0	2023-02-14 22:14:04.111	20.4s	20.3s	101.8%	898.1 MB	1.5 GB	91.9 MB	23.2 KB
9	0c/cd22f4	68279	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (4)	CACHED	0	2023-02-14 22:13:43.959	20.1s	20s	99.4%	898.1 MB	1.5 GB	93 MB	23.6 KB
6	e3/1d1dd4	68267	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (1)	CACHED	0	2023-02-14 22:13:43.905	26.2s	26s	79.7%	1.1 GB	1.8 GB	93.1 MB	55 KB
12	8f/be6744	69923	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (7)	CACHED	0	2023-02-14 22:14:24.532	17s	16.9s	101.3%	1.1 GB	1.8 GB	93.1 MB	23.6 KB
13	84/b9ac81	72255	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (8)	CACHED	0	2023-02-14 22:15:06.433	16.8s	16.7s	101.5%	1.2 GB	1.8 GB	93.7 MB	23.6 KB
10	58/32045c	70262	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (5)	CACHED	0	2023-02-14 22:14:30.740	17.6s	17.4s	101.6%	988.4 MB	1.6 GB	92.3 MB	23.7 KB
11	38/ee965a	70855	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (6)	CACHED	0	2023-02-14 22:14:41.590	16.6s	16.4s	100.9%	1.2 GB	1.8 GB	93.8 MB	23.6 KB
15	cc/0cc5d5	71807	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (10)	CACHED	0	2023-02-14 22:14:58.171	17.7s	17.6s	101.1%	914.2 MB	1.5 GB	92.1 MB	23.7 KB
14	62/1ff1dc	71245	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (9)	CACHED	0	2023-02-14 22:14:48.306	18.1s	18s	101.6%	970.1 MB	1.5 GB	92.7 MB	23.2 KB
16	82/bc0674	72735	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (11)	CACHED	0	2023-02-14 22:15:15.832	17.8s	17.7s	101.5%	908.3 MB	1.5 GB	92.8 MB	23.8 KB
17	64/485561	74716	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (12)	CACHED	0	2023-02-14 22:15:51.599	18.2s	18.1s	101.2%	966.3 MB	1.5 GB	93 MB	23.6 KB
18	da/24c26d	73189	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (13)	CACHED	0	2023-02-14 22:15:23.196	16.7s	16.6s	101.2%	1.2 GB	1.8 GB	92.3 MB	23.7 KB
19	7d/cef848	73728	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (14)	CACHED	0	2023-02-14 22:15:33.638	18s	17.9s	101.6%	910.2 MB	1.5 GB	93.8 MB	23.6 KB
