task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	35/2b3309	303505	DROP_DROP:DROP:ABERRANT_SPLICING:PREPROCESSGENEANNOTATION (1)	CACHED	0	2023-02-14 14:55:45.225	14.3s	14.1s	97.8%	667.7 MB	1.2 GB	101.4 MB	1.3 MB
3	fb/77dad2	336919	DROP_DROP:DROP:ABERRANT_SPLICING:DEFINE_DATASET_FROM_ANNO (2)	CACHED	0	2023-02-14 17:02:56.341	14.5s	14.3s	99.6%	770.8 MB	1.3 GB	75.7 MB	884.4 KB
2	81/4541be	336936	DROP_DROP:DROP:ABERRANT_SPLICING:DEFINE_DATASET_FROM_ANNO (1)	CACHED	0	2023-02-14 17:02:56.426	13.9s	13.6s	101.1%	770.8 MB	1.3 GB	75.7 MB	884.4 KB
5	a2/89eeaf	378905	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_INIT (2)	CACHED	0	2023-02-14 18:43:48.776	16.2s	16s	100.8%	679.1 MB	1.3 GB	74.5 MB	4.8 KB
4	cd/956cc0	378925	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_INIT (1)	CACHED	0	2023-02-14 18:43:48.827	16s	15.9s	101.0%	679.2 MB	1.3 GB	74.5 MB	4.8 KB
8	32/7e2954	407277	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (3)	FAILED	0	2023-02-14 19:23:26.775	20.4s	20.2s	98.3%	908.2 MB	1.5 GB	92.8 MB	23.8 KB
6	f3/2db0c9	407269	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (1)	FAILED	0	2023-02-14 19:23:26.752	27.2s	27.1s	74.5%	1.2 GB	2 GB	93.1 MB	55 KB
7	15/46a1f1	408077	DROP_DROP:DROP:ABERRANT_SPLICING:COUNTRNA_SPLITREADS_SAMPLEWISE (2)	FAILED	0	2023-02-14 19:23:47.173	20s	19.9s	94.4%	893.2 MB	1.5 GB	91.9 MB	23.2 KB
